REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ACCESS,WB_BPS_ONLINE_SALES,WB_BPS_RCV_POLICY,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
TZA,Tanzania,2020-06,2020-06-01,WB_BPS_SECTOR_OS,Sector: Other Services,49.28,-42.76,87.98,1.89,,22.61,16.81,17.97,4.84,23.64,,,3.125,,,,,,,,,-0.69957406228766,42.76,0.272840560705759,,
TZA,Tanzania,2020-12,2020-12-01,WB_BPS_SECTOR_OS,Sector: Other Services,30.86,-27.42,67.96,10.06,5.66,9.14,3.51,2.6,2.11,24.47,59.7,6.32,6.476,,,79.97,0.92,14.23,12.32,0.27,21.542,-1.05948567449013,27.42,-0.730646042564075,-0.69957406228766,
TZA,Tanzania,2020-06,2020-06-01,WB_BPS_SECTOR_RET,Sector: Retail,44.39,-33.71,79.34,8.87,,7.94,11.21,13.08,0.72,17.95,,,3.70666666666667,,,,,,,,,-1.0770828288505,33.71,-0.231990343617585,,
TZA,Tanzania,2020-12,2020-12-01,WB_BPS_SECTOR_RET,Sector: Retail,32.57,-21.28,59.9,8.54,4.93,11.23,5.57,3.48,,37.83,48.8,,6.24,,,63.15,2.32,27.98,19.19,1.15,22.758,-0.978445838075266,21.28,-0.78444510759996,-1.0770828288505,
UZB,Uzbekistan,2020-09,2020-09-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,51.85,-7.93,33.98,,11.33,9.54,7.33,5.15,12.67,59.88,46.14,18.89,13.712,,,,,,,,,0.407373375008318,7.93,-0.887227499073459,,
UZB,Uzbekistan,2021-06,2021-06-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,29.64,3.48,34.29,17.18,34.38,15.52,10.88,10.11,8.99,,28.68,67.22,4.82,19.49,19.63,,,,,,,1.62821449856369,-3.48,-0.832854939821323,0.407373375008318,46.14
UZB,Uzbekistan,2020-09,2020-09-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,40.42,-19.97,49.13,,18.21,14.27,4.49,6.71,3.55,49.02,46.14,16.58,14.1925,,,,,,,,,-0.173600986011235,19.97,-0.656044094836497,,
UZB,Uzbekistan,2021-06,2021-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,21.15,-17.18,50.45,19.22,33.7,23.9,13.18,7.92,5,,25.05,69.67,5.84,19.43,40.19,,,,,,,1.47074855825097,17.18,-0.425970470491813,-0.173600986011235,46.14
UZB,Uzbekistan,2020-09,2020-09-01,WB_BPS_SECTOR_OS,Sector: Other Services,32.84,-20.34,47.08,,19.95,15.1,10.19,9.09,14.31,47.36,27.14,24.54,5.89,,,,,,,,,0.403295990808379,20.34,-0.637538906842963,,
UZB,Uzbekistan,2021-06,2021-06-01,WB_BPS_SECTOR_OS,Sector: Other Services,17.93,-10.31,46.3,16.57,29.04,21.22,9.53,9.61,8,,23.88,66.7,5.355,19.34,42.99,,,,,,,1.5520464177498,10.31,-0.549337183073875,0.403295990808379,27.14
UZB,Uzbekistan,2020-09,2020-09-01,WB_BPS_SECTOR_RET,Sector: Retail,21.31,-7.57,31.87,,10.37,10.08,5.82,3.63,7.87,49.76,39.13,19,8.978,,,,,,,,,0.0627068866216293,7.57,-1.15185601794454,,
UZB,Uzbekistan,2021-06,2021-06-01,WB_BPS_SECTOR_RET,Sector: Retail,17.71,-2.52,40.73,12.59,26.09,18.38,9.99,7.09,6.61,,23.26,57.44,4.8675,24.74,42.23,,,,,,,1.16454645803375,2.52,-0.663954023935718,0.0627068866216293,39.13
VNM,Viet Nam,2020-06,2020-06-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,75.36,-41.45,88.36,-15.41,6.45,3.74,30.73,3.74,4.08,20.45,10.28,6.32,3.77,,,,,,,,,-0.818359791131818,41.45,-0.00418490426872902,,
VNM,Viet Nam,2020-10,2020-10-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,64.94,-10.98,43.93,-22.37,4.53,3.57,9.06,5.99,0.55,32.94,33.84,1.22,6.58,,,94.31,31.4,59.15,33.16,37.39,51.082,-0.533499440677796,10.98,-0.799905312486217,-0.818359791131818,10.28
VNM,Viet Nam,2021-01,2021-01-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,69.71,-16.06,70.22,-16.19,,29.53,0.66,29.05,2.01,26.32,65.99,94.9,18.22,31.22,,,,,,,,1.13221080916374,16.06,0.141876229651352,-0.533499440677796,33.84
VNM,Viet Nam,2020-06,2020-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,48.88,-35.88,85.3,-30.16,21.74,14.71,20.23,16.42,10.3,39.5,20.37,2.72,5.804,,,,,,,,,-0.355941097666541,35.88,0.0360039336184975,,
VNM,Viet Nam,2020-10,2020-10-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,35.78,-30.68,68.7,-34.09,5.7,9.48,17.38,8.54,9.32,58.18,34.48,2.17,8.385,,,96.55,24.8,53.22,18.69,24.71,43.594,-0.105690596500014,30.68,-0.507673283645107,-0.355941097666541,20.37
