REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_ONLINE_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
IND,India,2021-07,2021-07-01,TOTAL,Total,38.98,49.77,-15.18,54.8,0.02,22.4,,49.52,,,8.7325,11.12,67.48,33.07,59.08,,,,,,,0.558297468932059,15.18,0.498874175682474,1.72218219878029,
KEN,Kenya,2020-07,2020-07-01,TOTAL,Total,21.38,70.86,-58.77,93.42,-19.63,9.35,13.22,25.37,12.72,7.75,4.242,9.89,42.73,,,,,,,,,-0.258631809412182,58.77,0.336829918380138,,
KEN,Kenya,2020-09,2020-09-01,TOTAL,Total,41.76,51.88,-39.24,74.44,-5.84,14.46,4.91,19.33,4.67,3.28,1.504,4.52,88.82,,,74.67,27.29,51.77,36.14,31.9,44.354,0.293351494614542,39.24,-0.367275924025396,-0.258631809412182,21.38
KEN,Kenya,2021-04,2021-04-01,TOTAL,Total,58.94,32.78,-29.95,86.51,10.62,29.23,12.91,15.44,18.37,19.88,9.955,10.55,71.05,20.82,34.98,,,,,,,0.771133103278703,29.95,-0.247109026841971,0.293351494614542,41.76
KGZ,Kyrgyz Republic,2020-08,2020-08-01,TOTAL,Total,12.36,43.39,-30.17,68.37,,13.46,18.78,20.52,27.33,14.17,4.25,7.16,49.66,,,,,,,,,-0.163763781660699,30.17,-0.155246215902784,,
KGZ,Kyrgyz Republic,2021-06,2021-06-01,TOTAL,Total,9.97,20.59,-13.62,50.16,14.15,,21.88,20.88,12.87,7.13,1.7275,5.65,,30.04,50.72,,,,,,,,13.62,-0.464804323240289,-0.163763781660699,12.36
KHM,Cambodia,2020-06,2020-06-01,TOTAL,Total,,38.8,,,,11.16,,,,,,9,37.91,,,,,,,,,-0.333847058415092,,,,
KHM,Cambodia,2020-09,2020-09-01,TOTAL,Total,,17.69,,,,12.58,,,,,,,53.81,,,,,,,,,-0.039546610386156,,,-0.333847058415092,
KHM,Cambodia,2021-05,2021-05-01,TOTAL,Total,22.93,28.98,,,,21.95,36.72,4.4,20.01,21.18,8.02,8.83,62.25,,,,,,,,,0.350183310358424,,-0.295656133129627,-0.039546610386156,
LBR,Liberia,2020-06,2020-06-01,TOTAL,Total,1.27,,-43.36,94.07,,2.6,,,,,,,60,,,,,,,,,-0.278829725079447,43.36,,,
