REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ONLINE_SALES,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
GHA,Ghana,2020-06,2020-06-01,WB_BPS_SIZE_L,Size: Large (100+),3.68,,-18.81,53.11,,30.49,3.82,34.55,17.96,1.88,1.04,7.71,1.91,,,,,,,,,-1.50380563833436,18.81,-0.425674152208157,-1.50380563833436,3.68
GHA,Ghana,2020-09,2020-09-01,WB_BPS_SIZE_L,Size: Large (100+),16.98,,-10.36,39.5,,2.4,5.47,34.89,45.68,5.345,,11.53,,,,,,,,,,-1.50380563833436,10.36,-0.537779230470729,-1.50380563833436,3.68
GHA,Ghana,2020-06,2020-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),3.75,,-39.5,85.1,,30.93,3.06,46.86,44.48,1.21333333333333,5.36,32.1,12.55,,,,,,,,,-0.652812660756885,39.5,0.419598100194731,-0.652812660756885,3.75
GHA,Ghana,2020-09,2020-09-01,WB_BPS_SIZE_M,Size: Medium (20-99),17.41,,-30.39,79.17,,4.92,2.16,13.19,20.07,4.35333333333333,,34,,,,,,,,,,-0.652812660756885,30.39,-0.485739868886431,-0.652812660756885,3.75
GHA,Ghana,2020-06,2020-06-01,WB_BPS_SIZE_MI,Size: Micro (0-4),3.06,,-47.32,89.13,,13.5,3.03,31.27,37.5,0.7125,,,,,,,,,,,,,47.32,0.171936591941889,,3.06
GHA,Ghana,2020-09,2020-09-01,WB_BPS_SIZE_MI,Size: Micro (0-4),10.59,,-42.03,84.99,,3.66,0.74,20.52,28.38,2.2525,,,,,,,,,,,,,42.03,-0.208334265490695,,3.06
GHA,Ghana,2020-06,2020-06-01,WB_BPS_SIZE_S,Size: Small (5-19),5.7,,-44.09,83.85,,25.2,7.67,32.7,40.2,1.0875,1.3,13.59,1.66,,,,,,,,,-1.40343417203917,44.09,0.287873970609158,-1.40343417203917,5.7
GHA,Ghana,2020-09,2020-09-01,WB_BPS_SIZE_S,Size: Small (5-19),14.15,,-43.58,89.42,,7.07,1.82,17.19,29.78,2.6575,,22.65,,,,,,,,,,-1.40343417203917,43.58,-0.129519758935743,-1.40343417203917,5.7
HRV,Croatia,2021-05,2021-05-01,WB_BPS_SIZE_L,Size: Large (100+),70,10,1.53,37.93,8.26,23.33,35,5,8.33,32.915,,70,28.96,1.67,,,,,,,,0.869506304701697,-1.53,-0.972334554277922,,
HRV,Croatia,2021-05,2021-05-01,WB_BPS_SIZE_M,Size: Medium (20-99),71.93,23.68,-4.23,46.85,6.28,21.05,28.95,12.28,10.53,31.7975,,59.65,36.56,14.91,,,,,,,,0.910674362822965,4.23,-0.698385837846794,,
